Player,Nation,Position,Squad,Competition,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
David Jurásek,cz CZE,DF,Hoffenheim,De Bundesliga,22,13,4,496,5.5,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.1,12,12,38,0.00,0.18,0.18,0.00,0.18,0.03,0.18,0.21,0.03,0.21
Julian Justvan,de GER,"FW,MF",Hoffenheim,De Bundesliga,25,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,5,12,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Julian Justvan,de GER,"MF,FW",Darmstadt 98,De Bundesliga,25,14,11,1023,11.4,2,2,4,2,0,0,1,0,0.9,0.9,2.5,3.4,20,56,50,0.18,0.18,0.35,0.18,0.35,0.08,0.22,0.30,0.08,0.30
Filip Jørgensen,dk DEN,GK,Villarreal,Es La Liga,21,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mathias Jørgensen,dk DEN,DF,Brentford,Eng Premier League,33,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5,50,4,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
Mohamed Kaba,fr FRA,MF,Lecce,It Serie A,21,23,15,1378,15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2.0,14,60,32,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.13,0.08,0.13
Sory Kaba,gn GUI,FW,Las Palmas,Es La Liga,28,17,9,720,8.0,1,1,2,1,0,0,2,0,1.5,1.5,0.3,1.8,7,12,36,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23
Ozan Kabak,tr TUR,DF,Hoffenheim,De Bundesliga,23,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21,110,11,0.16,0.00,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13
Christian Kabasele,be BEL,DF,Udinese,It Serie A,32,13,10,861,9.6,1,1,2,1,0,0,5,0,1.2,1.2,0.5,1.6,7,22,1,0.10,0.10,0.21,0.10,0.21,0.12,0.05,0.17,0.12,0.17
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Issa Kaboré,bf BFA,DF,Luton Town,Eng Premier League,22,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60,54,85,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.12,0.01,0.12
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,Fr Ligue 1,29,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41,31,73,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46
Yaya Kader Fofana,ml MLI,"MF,DF",Reims,Fr Ligue 1,19,4,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,De Bundesliga,31,29,28,2412,26.8,3,4,7,3,0,0,7,0,2.5,2.5,4.7,7.2,38,88,153,0.11,0.15,0.26,0.11,0.26,0.09,0.18,0.27,0.09,0.27
Tino Kadewere,zw ZIM,"FW,MF",Lyon,Fr Ligue 1,27,11,2,296,3.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,4,12,28,0.00,0.00,0.00,0.00,0.00,0.20,0.09,0.28,0.20,0.28
Tino Kadewere,zw ZIM,"FW,MF",Nantes,Fr Ligue 1,27,14,8,781,8.7,1,0,1,1,0,1,1,0,1.9,1.2,1.8,2.9,15,26,53,0.12,0.00,0.12,0.12,0.12,0.22,0.21,0.43,0.13,0.34
Kaiky,br BRA,DF,Almería,Es La Liga,19,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,4,24,1,0.17,0.00,0.17,0.17,0.17,0.04,0.00,0.04,0.04,0.04
Florian Kainz,at AUT,"MF,FW",Köln,De Bundesliga,30,33,29,2197,24.4,5,4,9,0,5,5,4,0,5.0,1.0,3.3,4.3,40,124,100,0.20,0.16,0.37,0.00,0.16,0.20,0.13,0.34,0.04,0.18
Sasa Kalajdzic,at AUT,FW,Wolves,Eng Premier League,26,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1.0,2.0,1,5,9,1.08,0.00,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09
Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,De Bundesliga,26,5,5,325,3.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,1,8,9,0.00,0.28,0.28,0.00,0.28,0.05,0.14,0.19,0.05,0.19
Arnaud Kalimuendo,fr FRA,FW,Rennes,Fr Ligue 1,21,30,25,2139,23.8,10,1,11,8,2,2,6,0,9.0,7.4,2.7,10.1,27,37,181,0.42,0.04,0.46,0.34,0.38,0.38,0.11,0.49,0.31,0.43
Yayah Kallon,sl SLE,FW,Hellas Verona,It Serie A,22,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gedeon Kalulu,cd COD,DF,Lorient,Fr Ligue 1,25,19,11,970,10.8,0,1,1,0,0,0,0,0,0.3,0.3,1.1,1.4,17,35,60,0.00,0.09,0.09,0.00,0.09,0.03,0.10,0.13,0.03,0.13
Pierre Kalulu,fr FRA,DF,Milan,It Serie A,23,9,4,374,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6,19,11,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Daichi Kamada,jp JPN,MF,Lazio,It Serie A,26,29,17,1544,17.2,2,2,4,2,0,0,3,0,1.8,1.8,2.8,4.6,40,96,78,0.12,0.12,0.23,0.12,0.23,0.11,0.16,0.27,0.11,0.27
Waren Kamanzi,no NOR,"DF,FW",Toulouse,Fr Ligue 1,22,24,12,1187,13.2,0,3,3,0,0,0,1,0,0.8,0.8,2.5,3.4,35,56,55,0.00,0.23,0.23,0.00,0.23,0.06,0.19,0.26,0.06,0.26
Boubacar Kamara,fr FRA,MF,Aston Villa,Eng Premier League,23,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08
Hassane Kamara,ci CIV,DF,Udinese,It Serie A,29,35,27,2225,24.7,1,1,2,1,0,0,4,0,1.9,1.9,2.8,4.8,61,81,93,0.04,0.04,0.08,0.04,0.08,0.08,0.11,0.19,0.08,0.19
Willy Kambwala,fr FRA,DF,Manchester Utd,Eng Premier League,18,8,3,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,De Bundesliga,21,17,4,473,5.3,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.1,13,18,53,0.00,0.38,0.38,0.00,0.38,0.09,0.13,0.22,0.09,0.22
Thomas Kaminski,be BEL,GK,Luton Town,Eng Premier League,30,38,38,3405,37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Kampl,si SVN,MF,RB Leipzig,De Bundesliga,32,26,14,1363,15.1,1,0,1,1,0,0,3,0,0.2,0.2,1.8,2.0,28,88,27,0.07,0.00,0.07,0.07,0.07,0.01,0.12,0.13,0.01,0.13
Harry Kane,eng ENG,FW,Bayern Munich,De Bundesliga,30,32,32,2839,31.5,36,8,44,31,5,5,2,0,30.6,26.7,6.4,33.0,36,102,164,1.14,0.25,1.39,0.98,1.24,0.97,0.20,1.17,0.85,1.05
Lee Kang-in,kr KOR,"FW,MF",Paris S-G,Fr Ligue 1,22,23,18,1464,16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,50,103,150,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23
Yann Karamoh,fr FRA,"MF,FW",Torino,It Serie A,25,10,1,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11,5,12,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Yann Karamoh,fr FRA,"FW,MF",Montpellier,Fr Ligue 1,25,12,1,284,3.2,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1.0,7,3,28,0.32,0.00,0.32,0.32,0.32,0.26,0.06,0.32,0.26,0.32
Atakan Karazor,de GER,MF,Stuttgart,De Bundesliga,26,33,31,2623,29.1,0,4,4,0,0,0,9,0,1.0,1.0,2.6,3.6,24,142,31,0.00,0.14,0.14,0.00,0.14,0.04,0.09,0.13,0.03,0.12
Ayman Kari,fr FRA,MF,Lorient,Fr Ligue 1,18,14,12,893,9.9,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.5,22,37,53,0.10,0.10,0.20,0.10,0.20,0.06,0.08,0.15,0.06,0.15
Emir Karic,at AUT,DF,Darmstadt 98,De Bundesliga,26,27,18,1783,19.8,0,0,0,0,0,0,4,0,0.4,0.4,1.3,1.7,56,115,85,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
Loris Karius,de GER,GK,Newcastle Utd,Eng Premier League,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jesper Karlsson,se SWE,FW,Bologna,It Serie A,25,7,4,344,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,13,16,35,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19
Jon Karrikaburu,es ESP,"MF,FW",Alavés,Es La Liga,20,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rick Karsdorp,nl NED,DF,Roma,It Serie A,28,18,14,1191,13.2,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.7,12,33,71,0.00,0.15,0.15,0.00,0.15,0.03,0.17,0.20,0.03,0.20
Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,It Serie A,25,26,18,1480,16.4,3,3,6,3,0,0,5,0,2.9,2.9,2.8,5.7,28,78,69,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35
Silas Katompa,cd COD,"FW,MF",Stuttgart,De Bundesliga,24,27,8,900,10.0,5,2,7,5,0,1,0,0,5.7,4.9,2.3,7.2,49,25,130,0.50,0.20,0.70,0.50,0.70,0.57,0.23,0.80,0.49,0.72
Panos Katseris,gr GRE,DF,Lorient,Fr Ligue 1,22,15,13,1041,11.6,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9,24,21,86,0.09,0.09,0.17,0.09,0.17,0.18,0.07,0.25,0.18,0.25
Mikkel Kaufmann,dk DEN,FW,Union Berlin,De Bundesliga,22,18,4,486,5.4,1,0,1,1,0,0,0,0,1.3,1.3,1.0,2.3,6,11,34,0.19,0.00,0.19,0.19,0.19,0.24,0.18,0.42,0.24,0.42
Michael Kayode,it ITA,DF,Fiorentina,It Serie A,19,26,22,2058,22.9,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,45,80,102,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07
Moise Kean,it ITA,FW,Juventus,It Serie A,23,19,8,654,7.3,0,0,0,0,0,0,2,0,2.1,2.1,0.7,2.8,12,6,38,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.38,0.28,0.38
Michael Keane,eng ENG,DF,Everton,Eng Premier League,30,9,4,439,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,4,14,3,0.21,0.00,0.21,0.21,0.21,0.14,0.00,0.14,0.14,0.14
Ibrahima Kebe,ml MLI,MF,Girona,Es La Liga,22,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kévin Keben Biakolo,cm CMR,DF,Toulouse,Fr Ligue 1,19,8,7,521,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,13,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Yassine Kechta,ma MAR,MF,Le Havre,Fr Ligue 1,21,32,21,1849,20.5,2,1,3,2,0,0,4,0,1.6,1.6,2.2,3.8,41,122,67,0.10,0.05,0.15,0.10,0.15,0.08,0.11,0.19,0.08,0.19
Thilo Kehrer,de GER,"DF,MF",West Ham,Eng Premier League,26,4,0,22,0.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thilo Kehrer,de GER,DF,Monaco,Fr Ligue 1,26,15,15,1323,14.7,1,1,2,1,0,0,4,1,0.7,0.7,1.1,1.8,13,90,16,0.07,0.07,0.14,0.07,0.14,0.05,0.07,0.12,0.05,0.12
Habib Keita,ml MLI,MF,Clermont Foot,Fr Ligue 1,21,27,12,1278,14.2,1,0,1,1,0,0,4,0,0.7,0.7,0.6,1.3,9,53,23,0.07,0.00,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09
Naby Keïta,gn GUI,"MF,DF",Werder Bremen,De Bundesliga,28,5,1,109,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
Yannik Keitel,de GER,"DF,MF",Freiburg,De Bundesliga,23,15,11,920,10.2,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,4,48,7,0.10,0.00,0.10,0.10,0.10,0.07,0.04,0.11,0.07,0.11
Caoimhín Kelleher,ie IRL,GK,Liverpool,Eng Premier League,24,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Keller,de GER,"MF,FW",Heidenheim,De Bundesliga,23,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Lloyd Kelly,eng ENG,DF,Bournemouth,Eng Premier League,24,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15,56,28,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09
Omari Kellyman,eng ENG,FW,Aston Villa,Eng Premier League,17,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
Aljoscha Kemlein,de GER,MF,Union Berlin,De Bundesliga,18,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Tobias Kempe,de GER,MF,Darmstadt 98,De Bundesliga,34,24,15,1350,15.0,3,2,5,0,3,3,1,0,3.6,1.2,2.1,3.3,15,44,46,0.20,0.13,0.33,0.00,0.13,0.24,0.14,0.38,0.08,0.22
Milos Kerkez,hu HUN,DF,Bournemouth,Eng Premier League,19,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2.0,46,44,93,0.00,0.05,0.05,0.00,0.05,0.06,0.04,0.09,0.06,0.09
Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,Eng Premier League,20,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reda Khadra,de GER,"FW,MF",Reims,Fr Ligue 1,22,29,14,1368,15.2,1,3,4,1,0,0,1,0,1.8,1.8,3.5,5.4,35,40,110,0.07,0.20,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35
Wahbi Khazri,tn TUN,FW,Montpellier,Fr Ligue 1,32,25,13,1131,12.6,1,0,1,1,0,0,6,0,3.3,3.3,1.2,4.5,27,33,76,0.08,0.00,0.08,0.08,0.08,0.26,0.10,0.36,0.26,0.36
Rani Khedira,de GER,MF,Union Berlin,De Bundesliga,29,20,18,1343,14.9,0,0,0,0,0,0,5,1,0.4,0.4,0.1,0.5,6,35,15,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
Abdukodir Khusanov,uz UZB,DF,Lens,Fr Ligue 1,19,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Kiké,es ESP,"FW,MF",Alavés,Es La Liga,33,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2.0,8.9,18,32,97,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56
Luca Kilian,de GER,DF,Köln,De Bundesliga,23,13,6,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,12,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Max Kilman,eng ENG,DF,Wolves,Eng Premier League,26,38,38,3420,38.0,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22,117,5,0.05,0.00,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08
Joshua Kimmich,de GER,"MF,DF",Bayern Munich,De Bundesliga,28,28,27,2176,24.2,1,6,7,1,0,0,1,1,1.1,1.1,7.1,8.3,56,229,114,0.04,0.25,0.29,0.04,0.29,0.05,0.30,0.34,0.05,0.34
Jakub Kiwior,pl POL,DF,Arsenal,Eng Premier League,23,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16,0.10,0.29,0.38,0.10,0.38,0.08,0.09,0.16,0.08,0.16
Simon Kjær,dk DEN,DF,Milan,It Serie A,34,20,14,1171,13.0,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,4,52,0,0.00,0.08,0.08,0.00,0.08,0.04,0.06,0.10,0.04,0.10
Davy Klaassen,nl NED,MF,Inter,It Serie A,30,13,1,206,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,5,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
Christoph Klarer,at AUT,DF,Darmstadt 98,De Bundesliga,23,30,28,2354,26.2,2,2,4,2,0,0,9,0,1.2,1.2,0.9,2.1,9,64,11,0.08,0.08,0.15,0.08,0.15,0.05,0.04,0.08,0.05,0.08
Tim Kleindienst,de GER,FW,Heidenheim,De Bundesliga,27,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40,73,178,0.38,0.09,0.47,0.31,0.41,0.44,0.10,0.54,0.39,0.49
Lukas Klostermann,de GER,DF,RB Leipzig,De Bundesliga,27,25,16,1436,16.0,1,0,1,1,0,0,3,0,0.7,0.7,0.4,1.1,14,90,13,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
Justin Kluivert,nl NED,"MF,FW",Bournemouth,Eng Premier League,24,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65,50,114,0.33,0.05,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38
Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,De Bundesliga,21,31,24,2109,23.4,7,2,9,7,0,0,7,1,5.7,5.7,2.3,8.0,77,57,164,0.30,0.09,0.38,0.30,0.38,0.24,0.10,0.34,0.24,0.34
Robin Knoche,de GER,DF,Union Berlin,De Bundesliga,31,24,20,1917,21.3,1,0,1,1,0,1,1,0,1.2,0.4,0.3,0.7,2,71,2,0.05,0.00,0.05,0.05,0.05,0.06,0.01,0.07,0.02,0.03
Gregor Kobel,ch SUI,GK,Dortmund,De Bundesliga,25,27,27,2365,26.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Robin Koch,de GER,DF,Eint Frankfurt,De Bundesliga,27,31,31,2738,30.4,2,0,2,2,0,0,10,0,3.1,3.1,0.2,3.3,14,116,3,0.07,0.00,0.07,0.07,0.07,0.10,0.01,0.11,0.10,0.11
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Philipp Köhn,ch SUI,GK,Monaco,Fr Ligue 1,25,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominik Kohr,de GER,"DF,MF",Mainz 05,De Bundesliga,29,31,27,2184,24.3,1,0,1,1,0,0,15,1,1.6,1.6,1.2,2.8,19,99,26,0.04,0.00,0.04,0.04,0.04,0.07,0.05,0.12,0.07,0.12
Koke,es ESP,MF,Atlético Madrid,Es La Liga,31,35,32,2493,27.7,0,4,4,0,0,0,5,0,0.4,0.4,3.6,4.1,26,212,26,0.00,0.14,0.14,0.00,0.14,0.02,0.13,0.15,0.02,0.15
Sead Kolašinac,ba BIH,DF,Atalanta,It Serie A,30,30,25,2178,24.2,1,0,1,1,0,0,4,0,1.3,1.3,1.1,2.4,32,94,30,0.04,0.00,0.04,0.04,0.04,0.06,0.04,0.10,0.06,0.10
Luca Koleosho,it ITA,"MF,FW",Burnley,Eng Premier League,18,15,13,974,10.8,1,1,2,1,0,0,0,0,2.0,2.0,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.30,0.18,0.30
Randal Kolo Muani,fr FRA,"FW,MF",Paris S-G,Fr Ligue 1,24,26,13,1268,14.1,6,5,11,6,0,0,1,0,6.1,6.1,3.3,9.4,36,42,125,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,De Bundesliga,24,2,2,153,1.7,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,6,3,9,0.59,0.00,0.59,0.59,0.59,0.77,0.00,0.77,0.77,0.77
Mert Kömür,de GER,"MF,DF",Augsburg,De Bundesliga,18,4,1,118,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,7,4,9,0.76,0.00,0.76,0.76,0.76,0.15,0.02,0.17,0.15,0.17
Cheick Konaté,ml MLI,DF,Clermont Foot,Fr Ligue 1,19,19,12,1068,11.9,1,1,2,1,0,0,4,0,0.5,0.5,1.6,2.1,22,37,86,0.08,0.08,0.17,0.08,0.17,0.04,0.13,0.18,0.04,0.18
Ibrahima Konaté,fr FRA,DF,Liverpool,Eng Premier League,24,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,118,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Geoffrey Kondogbia,cf CTA,MF,Marseille,Fr Ligue 1,30,26,15,1463,16.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,7,93,25,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06
Abdoul Koné,fr FRA,DF,Reims,Fr Ligue 1,18,3,3,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
Amadou Koné,ml MLI,MF,Reims,Fr Ligue 1,18,16,4,475,5.3,0,0,0,0,0,0,4,1,0.3,0.3,0.2,0.4,2,28,2,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Ibrahima Koné,ml MLI,FW,Almería,Es La Liga,24,9,2,277,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,3,18,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
Ibrahima Koné,ml MLI,FW,Lorient,Fr Ligue 1,24,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manu Koné,fr FRA,MF,Gladbach,De Bundesliga,22,22,18,1561,17.3,1,0,1,1,0,0,4,1,1.2,1.2,1.2,2.4,42,70,56,0.06,0.00,0.06,0.06,0.06,0.07,0.07,0.14,0.07,0.14
Ezri Konsa,eng ENG,DF,Aston Villa,Eng Premier League,25,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3.0,37,136,33,0.03,0.00,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09
Teun Koopmeiners,nl NED,MF,Atalanta,It Serie A,25,34,29,2627,29.2,12,5,17,10,2,2,5,0,6.5,5.0,5.9,10.9,79,169,190,0.41,0.17,0.58,0.34,0.51,0.22,0.20,0.43,0.17,0.37
Odilon Kossonou,ci CIV,DF,Leverkusen,De Bundesliga,22,22,21,1811,20.1,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,48,141,23,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06
Filip Kostić,rs SRB,DF,Juventus,It Serie A,30,29,26,1815,20.2,0,4,4,0,0,0,2,0,0.7,0.7,5.4,6.1,64,88,95,0.00,0.20,0.20,0.00,0.20,0.03,0.27,0.30,0.03,0.30
Christian Kouamé,ci CIV,FW,Fiorentina,It Serie A,25,23,11,1089,12.1,2,1,3,2,0,0,0,0,1.9,1.9,1.8,3.7,12,41,110,0.17,0.08,0.25,0.17,0.25,0.16,0.15,0.31,0.16,0.31
